rsi,adx,trend,result
28.5684228235908,39.075324708305864,0,1
29.615269234209247,30.859004944813254,0,0
28.78661372667546,32.529336057144384,0,0
26.67666317685041,34.35826094209576,0,0
19.38876518277206,37.09497934521477,0,1
28.344201642776586,25.558515378834155,0,1
23.2947107642678,27.788712067318595,0,1
71.63340905318687,17.89603156230531,1,0
71.94234553528742,19.77218173239601,1,0
80.18823819926669,23.07474181103098,1,0
72.6283409068206,30.94147671133504,1,0
71.82849326808604,33.41857981676348,1,0
75.6989826411351,36.00881330612529,1,1
76.44065211822357,38.763982392843296,1,1
71.06807978775284,40.76272113418835,1,0
72.89657526866128,42.14770978787448,1,1
71.12555296746136,43.545167060153354,1,0
70.51061004787316,44.56209467684047,1,0
72.39137470567738,46.934075157160976,1,0
29.569237247819885,45.404811013705064,0,0
27.65895137310684,45.23495783595251,0,0
25.59865452982477,45.60188985996674,0,0
21.621965349616417,46.52444458951418,0,1
21.761177286243548,47.68716843047464,0,1
20.322553924589673,48.49457860594532,0,1
24.944042994906102,49.30223381724986,0,1
28.78318407740289,33.71131637932827,0,0
27.141988217274395,34.676008121617365,0,0
26.64204551033868,35.77478915333489,0,1
25.49285885601787,36.92784746037082,0,1
29.674291908257327,38.13089291870602,0,1
27.883743364206012,39.248006558588685,0,1
28.951612537792183,23.704456647615665,0,0
24.48394988798658,23.09407836298033,0,0
22.818287797889028,22.397806054875026,0,1
26.59414609137712,21.647047403965995,0,1
27.74773008695838,20.949914370979037,0,1
27.60765171140079,20.449417261551435,0,1
28.25812969057906,20.08905182370597,0,1
29.76248543042132,19.385109309280566,0,1
29.911042584622507,19.042171663211484,0,1
20.8654247076052,21.47706885028081,0,0
16.827712189497735,25.215335735907747,0,1
15.464255917590066,28.854978620168207,0,1
22.24861686257784,32.26361388093228,0,1
27.807420859753307,34.38945252451401,0,1
27.67693315954801,36.36344551798209,0,1
72.11493810169974,17.5458279324509,0,1
29.518127057601404,16.856993657598338,0,1
86.50418829438539,23.654436301848495,1,0
84.31595727625573,27.2235122062165,1,0
82.4849228102326,30.023082357347405,1,0
82.63262433551276,32.6382666024476,1,0
83.91102648263129,35.16010167246706,1,0
83.43857542956603,37.55575629909418,1,0
83.69562465258504,39.78029273810506,1,0
84.26217058814547,41.914054471400384,1,0
84.32502961305688,43.89540465231746,1,0
84.52469784958816,45.758291773177014,1,0
85.41396044388749,47.61990596443684,1,1
86.16319769165315,49.440701482500344,1,1
77.91259229559745,50.68559683736238,1,1
78.88742824148397,51.73730680228483,1,1
78.98731861248184,52.746054047311254,1,1
74.67573533130971,53.07503779918829,1,1
71.34528293344519,52.710164729093215,1,0
73.88055997880396,48.40335945326837,1,1
