ticker,timestamp,open,high,low,close,volume,ema_9,ema_21,ema_50,ema_200,rsi,adx,atr,supertrend,vwap,fvg_bullish,fvg_bearish,liquidity_sweep,volume_spike,market_regime,volatility_regime,signal_type,outcome,target_hit,stop_hit,holding_period
RELIANCE,2025-07-11,1505.9852937598653,1508.9733598189127,1484.3716645666439,1489.2520751953125,7234991,1506.7154211421853,1486.6486821273106,1439.258742214005,1363.2756962027267,59.907101457982215,66.66409477611035,24.651567318727157,1462.827486001609,1379.0448116703258,0,0,0,0,1,1,BUY,LOSS,0,1,5
RELIANCE,2025-08-11,1364.5501609316866,1382.4785572067015,1355.7851185633474,1380.6856689453125,9997486,1387.3577966667365,1409.7572338696184,1420.502601082974,1372.711877604814,43.029343809395954,66.18476416855856,24.132189929403207,1445.5665702320157,1380.8995017072048,0,0,-1,0,1,1,SELL,LOSS,0,1,0
RELIANCE,2025-08-13,1382.4785186353236,1386.2634508216695,1372.0202877666845,1377.0999755859375,7457021,1383.3143951401491,1403.908357464238,1417.0826613001639,1372.7789615737822,43.8596660325011,56.60954603887317,24.07529106062311,1445.5665702320157,1380.8940580988933,0,0,0,0,1,1,SELL,WIN,1,0,5
RELIANCE,2025-08-14,1377.300048828125,1380.699951171875,1370.0999755859375,1373.800048828125,7126128,1381.4115258777445,1401.1712384973187,1415.3853031436777,1372.7893955540962,46.05718930458634,49.659869923219766,23.494913597805116,1441.2397297125015,1380.8848202914694,0,0,0,0,1,1,SELL,WIN,1,0,2
RELIANCE,2025-08-18,1390.0,1394.9000244140625,1377.0,1381.699951171875,11785109,1381.4692109365708,1399.4011214677328,1414.0643083470384,1372.8804236500503,49.88165671478433,43.766262306740465,23.379958294866356,1441.2397297125015,1380.894044613296,0,0,0,0,1,1,SELL,WIN,1,0,3
RELIANCE,2025-08-26,1408.0,1410.0,1381.5999755859375,1384.9000244140625,12145259,1400.2376165583194,1403.6574155182645,1413.2209595680915,1375.13248714819,49.622764720630165,25.32862961988945,21.87443254495778,1441.2397297125015,1381.2617455006036,0,0,0,0,1,0,SELL,LOSS,0,1,2
RELIANCE,2025-09-25,1381.300048828125,1384.5,1369.0,1372.4000244140625,11411143,1389.4207506134208,1390.427868267703,1397.763253245889,1376.9030957570794,48.509189562997044,27.711431178307368,14.028573172433036,1420.3700073242187,1381.3242133368065,0,0,0,0,-1,0,SELL,LOSS,0,1,5
RELIANCE,2025-09-26,1372.0,1382.699951171875,1366.0,1377.5999755859375,9879109,1387.0565956079242,1389.2616962057243,1396.9725363574205,1376.9101688211338,49.49379968116177,27.646698342415853,14.25,1418.2399536132812,1381.3124231706486,0,0,0,0,1,0,SELL,LOSS,0,1,2
RELIANCE,2025-09-29,1381.5999755859375,1389.0,1368.0,1372.800048828125,14231999,1384.2052862519645,1387.7651828077608,1396.0245955346693,1376.868460988533,48.14009519891873,25.52512510921334,14.857142857142858,1418.2399536132812,1381.2988750682387,0,0,0,1,-1,0,SELL,LOSS,0,1,3
RELIANCE,2025-11-11,1497.0,1498.800048828125,1480.199951171875,1493.4000244140625,7127506,1482.6316315626557,1459.44775309804,1431.01079844657,1391.7100812055414,58.220020898326254,58.1861124421964,22.085728236607142,1428.0899780273437,1384.45594283586,0,0,0,0,1,1,BUY,WIN,1,0,7
RELIANCE,2025-11-19,1517.4000244140625,1522.300048828125,1512.0,1518.9000244140625,5692366,1508.2553579634239,1484.4225632891469,1449.2583233155046,1399.0715577883843,56.3090509206626,53.625092079875024,19.335710797991073,1458.0800170898438,1385.685297312483,0,0,0,0,1,0,BUY,WIN,1,0,2
RELIANCE,2025-12-04,1536.0,1560.5,1517.5999755859375,1535.5999755859375,11867930,1545.2565990135618,1527.2255489646814,1485.3672617791049,1415.073986439198,56.83864504789841,59.40066808537959,22.400015694754465,1508.57998046875,1389.6709931257537,0,0,0,0,1,1,BUY,LOSS,0,0,0
RELIANCE,2025-12-05,1530.4000244140625,1545.800048828125,1520.5999755859375,1540.5999755859375,10183266,1544.325274328037,1528.44140593025,1487.5332506049401,1416.3385258677083,58.81420880508971,56.578378759801296,23.328595842633927,1508.57998046875,1389.943106088339,0,0,0,0,1,1,BUY,LOSS,0,0,0
RELIANCE,2025-12-08,1539.199951171875,1551.0,1535.0,1543.0,11301491,1544.0602194624298,1529.7649144820455,1489.7084172952552,1417.6143462980915,59.23317257867474,53.932176824438436,23.235735212053573,1508.57998046875,1390.2590524658708,0,0,0,0,1,1,BUY,WIN,0,0,0
RELIANCE,2025-12-10,1534.0,1547.5,1531.4000244140625,1536.9000244140625,7991629,1540.282549245018,1530.3834046355362,1493.0545617007645,1419.9300859962243,44.83927402214617,47.94787950840335,23.142874581473215,1508.57998046875,1390.7687968063117,0,0,0,0,1,1,BUY,LOSS,0,0,0
RELIANCE,2025-12-11,1536.9000244140625,1550.0,1524.0,1545.0,4706197,1541.2260393960146,1531.7121860323057,1495.091637751846,1421.1894171962597,49.35380592386476,45.036409566712294,23.735726492745535,1508.57998046875,1390.8962256541458,0,0,0,0,1,1,BUY,LOSS,0,0,0
RELIANCE,2025-12-12,1550.800048828125,1559.800048828125,1546.0999755859375,1556.5,5106655,1544.2808315168118,1533.9656236657324,1497.4998088650916,1422.5517000763782,58.26644447122285,41.670554555255805,23.492876325334823,1508.57998046875,1391.0476729368756,0,0,0,0,1,1,BUY,LOSS,0,0,0
RELIANCE,2025-12-15,1551.199951171875,1558.5999755859375,1546.5,1556.199951171875,5774543,1546.6646554478245,1535.986926166291,1499.8017752711078,1423.8970887146527,56.812546116534214,37.68064802886438,21.892874581473215,1508.57998046875,1391.2182051672557,0,0,0,0,1,1,BUY,LOSS,0,0,0
RELIANCE,2025-12-16,1545.0,1551.699951171875,1538.800048828125,1542.300048828125,11731856,1545.791734123885,1536.560846408276,1501.4683742626783,1425.0888698076621,36.832063513880264,35.047712690388714,20.857151576450892,1508.57998046875,1391.543384314054,0,0,0,0,1,0,BUY,LOSS,0,0,0
RELIANCE,2025-12-17,1550.0,1550.0,1539.300048828125,1544.4000244140625,7116649,1545.5133921819206,1537.2734989542564,1503.1519684139723,1426.2896539501166,40.537839402000785,32.72096182860954,20.22857666015625,1508.57998046875,1391.7403545921443,0,0,0,0,1,0,BUY,WIN,1,0,10
RELIANCE,2025-12-18,1535.199951171875,1551.5,1535.199951171875,1544.4000244140625,6580829,1545.2907186283492,1537.9213649051478,1504.7695392630849,1427.4782174657728,38.006234083629,31.122560382487222,20.085719517299108,1508.57998046875,1391.9210136743634,0,0,0,0,1,0,BUY,WIN,1,0,9
RELIANCE,2025-12-19,1554.4000244140625,1574.199951171875,1551.0,1565.0999755859375,13937275,1549.252570019867,1540.3921476943106,1507.1354387626725,1428.862970836874,49.56747350036009,27.41102566572948,21.221426827566965,1508.57998046875,1392.3517702959446,1,0,0,0,1,0,BUY,LOSS,0,1,5
RELIANCE,2026-02-03,1473.9000244140625,1489.5,1430.199951171875,1437.0999755859375,25456171,1409.359015593148,1437.8013705109151,1471.0283572011128,1440.0913833035177,45.72204804185119,51.547880627962506,33.79286411830357,1460.8900268554687,1396.561477766812,1,0,0,1,-1,2,SELL,LOSS,0,0,0
TCS,2025-01-20,4007.3102701570856,4007.3102701570856,3932.2061048226974,3941.58203125,1287799,3975.522874337637,3980.7926037428315,3996.797575244311,3964.359575421194,53.61955009146217,45.14084811190118,94.6075956216681,4095.9880129149738,3886.685106045381,0,0,0,0,-1,1,SELL,LOSS,0,0,0
TCS,2025-01-21,3958.497734138814,3973.673232978695,3895.3790145716716,3901.03369140625,1971591,3960.6250377513597,3973.5417935261507,3993.0416272901825,3963.6535508159063,49.85860558253598,40.462160909351105,96.90858684546444,4095.9880129149738,3886.8163696791066,0,0,0,0,-1,1,SELL,LOSS,0,0,0
TCS,2025-03-20,3394.68252652922,3459.3960314822807,3394.68252652922,3444.123779296875,2845192,3421.390752203049,3503.1725845186434,3669.7537891717866,3856.207764035088,44.47545881782699,58.422026715181055,64.35797878318671,3544.2342682382123,3850.729817728918,1,0,0,0,-1,1,SELL,LOSS,0,1,1
TCS,2025-03-21,3358.9186380800415,3495.450223009194,3349.252685164703,3458.57470703125,4161925,3428.8275431686893,3499.1182320197463,3661.4720504824445,3851.950437567223,64.25244569672753,52.60432030108924,64.0610826604064,3544.2342682382123,3848.064900314033,0,0,0,0,-1,0,SELL,LOSS,0,1,0
TCS,2025-03-28,3529.0393930182477,3538.656968927356,3471.9135171595426,3485.6875,2051919,3484.6039671580165,3504.5539467683184,3634.752674362817,3834.3022036017032,49.311702367903585,31.556404455179454,64.2785524959303,3544.2342682382123,3842.4682886796277,0,0,0,0,-1,0,SELL,LOSS,0,1,1
TCS,2025-04-01,3453.354619757771,3464.2771927018816,3407.248075969345,3432.186279296875,2618493,3474.120429585788,3497.975067907238,3626.8087386909,3830.015856733754,45.15160016264826,29.20170932618544,67.15418886610152,3544.2342682382123,3840.859894974294,0,1,0,0,-1,0,SELL,LOSS,0,1,2
TCS,2025-04-02,3425.6138066504323,3445.0424669343693,3412.129849162714,3425.5654296875,1764313,3464.4094296061303,3491.3923735235894,3618.916695819699,3825.7076807745725,46.012947857153414,25.955111098709978,65.9148888561115,3544.2342682382123,3839.7647843422014,0,1,0,0,-1,0,SELL,LOSS,0,1,1
TCS,2025-05-19,3431.4130953260615,3431.4130953260615,3386.6596886040716,3401.25537109375,2537377,3403.8739230111123,3368.7726613082896,3417.1975236281946,3687.223279574403,56.994243683442,45.326748344578206,74.17927474961195,3237.0888765032623,3773.4667724462593,0,0,0,0,-1,1,BUY,LOSS,0,1,10
TCS,2025-05-20,3413.82137266364,3439.1461226598826,3377.2840226457647,3381.4404296875,2038374,3399.38722434639,3369.924276615491,3415.7952767096353,3684.0245670109075,52.434890103734375,45.830202066787976,74.137842528533,3237.0888765032623,3772.4559457794435,0,0,0,0,-1,1,BUY,LOSS,0,1,9
